path,keyword,label,label_cmd
speech_commands/house/9190045a_nohash_1.wav,house,0,9
speech_commands/yes/7fd25f7c_nohash_4.wav,yes,0,6
speech_commands/happy/833a0279_nohash_0.wav,happy,0,7
speech_commands/house/3c1e12cf_nohash_1.wav,house,0,9
speech_commands/seven/ba770f9b_nohash_2.wav,seven,0,4
speech_commands/nine/15c563d7_nohash_4.wav,nine,0,0
speech_commands/seven/dca2797e_nohash_1.wav,seven,0,4
speech_commands/cat/af7a8296_nohash_1.wav,cat,0,1
speech_commands/six/de6eb27c_nohash_0.wav,six,0,8
speech_commands/wow/8d8d9855_nohash_1.wav,wow,0,3
speech_commands/happy/589bce2c_nohash_1.wav,happy,0,7
speech_commands/wow/1a673010_nohash_0.wav,wow,0,3
speech_commands/cat/8aa35b0c_nohash_3.wav,cat,0,1
speech_commands/happy/c7b4049e_nohash_1.wav,happy,0,7
speech_commands/nine/99e6cab8_nohash_0.wav,nine,0,0
speech_commands/yes/96d5276f_nohash_0.wav,yes,0,6
speech_commands/off/ab353673_nohash_0.wav,off,0,5
speech_commands/seven/39c13eed_nohash_1.wav,seven,0,4
speech_commands/six/264f471d_nohash_2.wav,six,0,8
speech_commands/happy/3c257192_nohash_0.wav,happy,0,7
speech_commands/off/4d9e07cf_nohash_0.wav,off,0,5
speech_commands/six/68effe85_nohash_0.wav,six,0,8
speech_commands/six/030ec18b_nohash_1.wav,six,0,8
speech_commands/wow/05cf43ef_nohash_1.wav,wow,0,3
speech_commands/six/8eb4a1bf_nohash_1.wav,six,0,8
speech_commands/cat/e9287461_nohash_0.wav,cat,0,1
speech_commands/yes/ef2578c0_nohash_0.wav,yes,0,6
speech_commands/nine/b8c48ffb_nohash_1.wav,nine,0,0
speech_commands/cat/48bdc11c_nohash_0.wav,cat,0,1
speech_commands/seven/cc6ee39b_nohash_2.wav,seven,0,4
speech_commands/off/c53b335a_nohash_1.wav,off,0,5
speech_commands/seven/36050ef3_nohash_4.wav,seven,0,4
speech_commands/cat/53578f4e_nohash_0.wav,cat,0,1
speech_commands/yes/90b94017_nohash_0.wav,yes,0,6
speech_commands/nine/99a9b015_nohash_0.wav,nine,0,0
speech_commands/off/90804775_nohash_0.wav,off,0,5
speech_commands/seven/de650823_nohash_0.wav,seven,0,4
speech_commands/yes/52bfbce8_nohash_1.wav,yes,0,6
speech_commands/yes/c392e01d_nohash_2.wav,yes,0,6
speech_commands/happy/f5e5e8b0_nohash_1.wav,happy,0,7
speech_commands/off/b9db6e42_nohash_0.wav,off,0,5
speech_commands/happy/ee4a907f_nohash_1.wav,happy,0,7
speech_commands/seven/380abbad_nohash_1.wav,seven,0,4
speech_commands/wow/fcb25a78_nohash_1.wav,wow,0,3
speech_commands/off/96ab6565_nohash_3.wav,off,0,5
speech_commands/off/dca2797e_nohash_0.wav,off,0,5
speech_commands/cat/74551073_nohash_1.wav,cat,0,1
speech_commands/cat/b16f2d0d_nohash_0.wav,cat,0,1
speech_commands/happy/229978fd_nohash_0.wav,happy,0,7
speech_commands/wow/0f3f64d5_nohash_0.wav,wow,0,3
speech_commands/wow/a591c2ea_nohash_0.wav,wow,0,3
speech_commands/six/dabd70c2_nohash_1.wav,six,0,8
speech_commands/six/529eda42_nohash_0.wav,six,0,8
speech_commands/yes/cf8d91cf_nohash_0.wav,yes,0,6
speech_commands/off/789e4ee7_nohash_0.wav,off,0,5
speech_commands/wow/1365dd89_nohash_1.wav,wow,0,3
speech_commands/yes/c08e5058_nohash_0.wav,yes,0,6
speech_commands/seven/982babaf_nohash_0.wav,seven,0,4
speech_commands/six/3143fdff_nohash_1.wav,six,0,8
speech_commands/happy/042ea76c_nohash_0.wav,happy,0,7
speech_commands/happy/6f7724f5_nohash_0.wav,happy,0,7
speech_commands/cat/6b889021_nohash_0.wav,cat,0,1
speech_commands/house/a84dee7b_nohash_1.wav,house,0,9
speech_commands/yes/7f74626f_nohash_0.wav,yes,0,6
speech_commands/cat/33903159_nohash_0.wav,cat,0,1
speech_commands/wow/5e1b34a6_nohash_0.wav,wow,0,3
speech_commands/off/0d2bcf9d_nohash_0.wav,off,0,5
speech_commands/nine/d7ca14ef_nohash_0.wav,nine,0,0
speech_commands/off/742d6431_nohash_0.wav,off,0,5
speech_commands/nine/dff327c5_nohash_2.wav,nine,0,0
speech_commands/happy/f8ad3941_nohash_0.wav,happy,0,7
speech_commands/happy/0447d7c1_nohash_0.wav,happy,0,7
speech_commands/six/28e47b1a_nohash_2.wav,six,0,8
speech_commands/seven/4249c833_nohash_0.wav,seven,0,4
speech_commands/seven/ba770f9b_nohash_1.wav,seven,0,4
speech_commands/nine/83f9c4ab_nohash_1.wav,nine,0,0
speech_commands/happy/e0611c84_nohash_1.wav,happy,0,7
speech_commands/yes/7fd25f7c_nohash_2.wav,yes,0,6
speech_commands/yes/3bc21161_nohash_2.wav,yes,0,6
speech_commands/yes/c2df23b2_nohash_0.wav,yes,0,6
speech_commands/yes/5188de0d_nohash_1.wav,yes,0,6
speech_commands/house/b12bef84_nohash_0.wav,house,0,9
speech_commands/happy/695c2127_nohash_0.wav,happy,0,7
speech_commands/nine/3d676310_nohash_0.wav,nine,0,0
speech_commands/house/aa753bb9_nohash_1.wav,house,0,9
speech_commands/seven/65ec06e5_nohash_0.wav,seven,0,4
speech_commands/six/d8c52371_nohash_0.wav,six,0,8
speech_commands/nine/7cf14c54_nohash_0.wav,nine,0,0
speech_commands/cat/fb24c826_nohash_0.wav,cat,0,1
speech_commands/six/dca2797e_nohash_2.wav,six,0,8
speech_commands/off/408de0a4_nohash_0.wav,off,0,5
speech_commands/nine/1a892463_nohash_1.wav,nine,0,0
speech_commands/happy/cab100c9_nohash_1.wav,happy,0,7
speech_commands/happy/cfde27ba_nohash_1.wav,happy,0,7
speech_commands/nine/09ddc105_nohash_0.wav,nine,0,0
speech_commands/yes/a331d9cb_nohash_0.wav,yes,0,6
speech_commands/house/97f4c236_nohash_0.wav,house,0,9
speech_commands/wow/eb0676ec_nohash_0.wav,wow,0,3
speech_commands/seven/37a3cd33_nohash_0.wav,seven,0,4
speech_commands/happy/1678e6f1_nohash_0.wav,happy,0,7
speech_commands/seven/5b1db3ee_nohash_0.wav,seven,0,4
speech_commands/cat/6f7724f5_nohash_1.wav,cat,0,1
speech_commands/seven/f5733968_nohash_1.wav,seven,0,4
speech_commands/six/3402e488_nohash_0.wav,six,0,8
speech_commands/off/1cbcc7a7_nohash_0.wav,off,0,5
speech_commands/cat/c68cf200_nohash_0.wav,cat,0,1
speech_commands/cat/726382d6_nohash_1.wav,cat,0,1
speech_commands/wow/6ef76186_nohash_1.wav,wow,0,3
speech_commands/off/324210dd_nohash_3.wav,off,0,5
speech_commands/six/fce65496_nohash_2.wav,six,0,8
speech_commands/nine/e0315cf6_nohash_3.wav,nine,0,0
speech_commands/house/152491bc_nohash_0.wav,house,0,9
speech_commands/off/f2a90886_nohash_0.wav,off,0,5
speech_commands/nine/4fd4d073_nohash_1.wav,nine,0,0
speech_commands/yes/30a09789_nohash_0.wav,yes,0,6
speech_commands/happy/eb0676ec_nohash_0.wav,happy,0,7
speech_commands/seven/3cdecb0b_nohash_1.wav,seven,0,4
speech_commands/seven/408de0a4_nohash_1.wav,seven,0,4
speech_commands/happy/f875f965_nohash_0.wav,happy,0,7
speech_commands/nine/c0e8f5a1_nohash_1.wav,nine,0,0
speech_commands/six/5f47fdf9_nohash_0.wav,six,0,8
speech_commands/nine/aa753bb9_nohash_0.wav,nine,0,0
speech_commands/yes/229978fd_nohash_4.wav,yes,0,6
speech_commands/yes/063d48cf_nohash_0.wav,yes,0,6
speech_commands/off/7b301939_nohash_1.wav,off,0,5
speech_commands/off/214ccb20_nohash_1.wav,off,0,5
speech_commands/yes/cc6ee39b_nohash_3.wav,yes,0,6
speech_commands/off/dc6e9c04_nohash_0.wav,off,0,5
speech_commands/yes/af7a8296_nohash_0.wav,yes,0,6
speech_commands/house/ba770f9b_nohash_0.wav,house,0,9
speech_commands/wow/0d53e045_nohash_0.wav,wow,0,3
speech_commands/six/afabfa0e_nohash_3.wav,six,0,8
speech_commands/off/c50225fa_nohash_1.wav,off,0,5
speech_commands/nine/1993db46_nohash_0.wav,nine,0,0
